"","EditId","occid","CatalogNumber","dbpk","ReviewStatus","AppliedStatus","Editor","Timestamp","FieldName","OldValue","NewValue"
"100083",1839201,4249486,"0027518MOR",17674,"OPEN","APPLIED","Hipp, Andrew",42346.6547685185,"decimallatitude","41.67539","41.675935000000003"
"107782",1839202,4249486,"0027518MOR",17674,"OPEN","APPLIED","Hipp, Andrew",42346.6547685185,"decimallongitude","-86.996436000000003","-86.996941000000007"
"7584",1839562,4249586,"0027304MOR",17774,"OPEN","APPLIED","Hipp, Andrew",42346.6811226852,"coordinateuncertaintyinmeters","189","183"
"100081",1839560,4249586,"0027304MOR",17774,"OPEN","APPLIED","Hipp, Andrew",42346.6811226852,"decimallatitude","41.631523000000001","41.632077000000002"
"107780",1839561,4249586,"0027304MOR",17774,"OPEN","APPLIED","Hipp, Andrew",42346.6811226852,"decimallongitude","-87.092172000000005","-87.092130999999995"
"7582",1839695,4249650,"0027094MOR",17838,"OPEN","APPLIED","Hipp, Andrew",42346.6894328704,"coordinateuncertaintyinmeters","185","197"
"100079",1839693,4249650,"0027094MOR",17838,"OPEN","APPLIED","Hipp, Andrew",42346.6894328704,"decimallatitude","41.647652000000001","41.648052999999997"
"107778",1839694,4249650,"0027094MOR",17838,"OPEN","APPLIED","Hipp, Andrew",42346.6894328704,"decimallongitude","-87.069986999999998","-87.070610000000002"
"7581",1839712,4249650,"0027094MOR",17838,"OPEN","APPLIED","Hipp, Andrew",42346.6908912037,"coordinateuncertaintyinmeters","197","185"
"100078",1839710,4249650,"0027094MOR",17838,"OPEN","APPLIED","Hipp, Andrew",42346.6908912037,"decimallatitude","41.648052999999997","41.645359999999997"
"107777",1839711,4249650,"0027094MOR",17838,"OPEN","APPLIED","Hipp, Andrew",42346.6908912037,"decimallongitude","-87.070610000000002","-87.071038999999999"
"7574",1840042,4250061,"0027534MOR",18253,"OPEN","APPLIED","Hipp, Andrew",42346.7123611111,"coordinateuncertaintyinmeters","196","220"
"100071",1840040,4250061,"0027534MOR",18253,"OPEN","APPLIED","Hipp, Andrew",42346.7123611111,"decimallatitude","41.562815999999998","41.562800000000003"
"107770",1840041,4250061,"0027534MOR",18253,"OPEN","APPLIED","Hipp, Andrew",42346.7123611111,"decimallongitude","-87.594487000000001","-87.594314999999995"
"7570",1840256,4250584,"0027139MOR",18778,"OPEN","APPLIED","Hipp, Andrew",42346.7252314815,"coordinateuncertaintyinmeters","230","219"
"100067",1840254,4250584,"0027139MOR",18778,"OPEN","APPLIED","Hipp, Andrew",42346.7252314815,"decimallatitude","41.784045999999996","41.783149999999999"
"107766",1840255,4250584,"0027139MOR",18778,"OPEN","APPLIED","Hipp, Andrew",42346.7252314815,"decimallongitude","-88.440180999999995","-88.440503000000007"
"7568",1840473,4250967,"0027307MOR",19162,"OPEN","APPLIED","Hipp, Andrew",42346.7441203704,"coordinateuncertaintyinmeters","159","184"
"100065",1840471,4250967,"0027307MOR",19162,"OPEN","APPLIED","Hipp, Andrew",42346.7441203704,"decimallatitude","41.661706000000002","41.661619999999999"
"107764",1840472,4250967,"0027307MOR",19162,"OPEN","APPLIED","Hipp, Andrew",42346.7441203704,"decimallongitude","-87.009062999999998","-87.008352000000002"
"7561",1914686,4251238,"0027311MOR",19434,"OPEN","APPLIED","Hipp, Andrew",42353.6936458333,"coordinateuncertaintyinmeters","189","159"
