"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","MatchGUID"
"0068123MOR","33.761563","-93.33162","WGS84","Louise & Lee","based on collectors description","GeoLocate","2028","539206e2-5ff5-4bcf-aa2a-71ff287e3545"
"0068124MOR","41.339735","-71.907363","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","767c8ebc-7519-4068-b3e5-26bce8ef0ad5"
"0068125MOR","41.339735","-71.907363","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","2c73f623-0ae2-4838-928d-a80999788376"
"0068126MOR","35.216753","-93.251845","WGS84","Louise & Lee","based on collectors description","GeoLocate","2023","bbdc18a7-cb5c-49dd-ab94-c048e36ee322"
"0068127MOR","34.506756","-93.101015","WGS84","Louise & Lee","based on collectors description","GeoLocate","2008","c838ab68-d935-40c0-91cb-1893fc49024f"
"0068128MOR","36.430048","-90.211526","WGS84","Louise & Lee","based on collectors description","GeoLocate","1946","24109b7a-61db-456f-a260-a0ba615ba77a"
"0068129MOR","25.521381","-100.124941","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1995","2ad95c6a-046a-4e43-808e-6f567c4a73dd"
"0068131MOR","37.144959","-89.332646","WGS84","Louise and Lee","based on collectors description","GeoLocate","189","c545c854-9fcd-4ec2-8cf2-0cc14f85fd83"
"0068132MOR","35.22771","-91.467358","WGS84","Louise & Lee","based on collectors description","GeoLocate","1988","f6dbe7c8-961a-455f-89b2-4768e7a44800"
"0068133MOR","33.059552","-80.180361","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1006","39920dff-ae29-4a56-9851-0868adfe7352"
"0068134MOR","48.17299","16.237578","WGS84","Louise & Lee","based on collectors description","GeoLocate","2041","59bba920-7b01-47ec-8c48-9cd503a8223e"
"0068135MOR","31.899384","-106.489414","WGS84","Louise & Lee","based on collectors description","GeoLocate","1057","15d9a802-f7b9-4e80-a888-28b451aa2d37"
"0068136MOR","32.841442","-84.74367","WGS84","Louise & Lee","based on collectors description","GeoLocate","2074","be0cb9d1-0154-4a73-83ca-50c5f2639bc9"
"0068138MOR","42.013266","-123.473807","WGS84","Louise & Lee","based on collectors description","GeoLocate","1330","59406729-14ec-48ef-ba5e-b70afda96a2a"
"0068139MOR","32.023897","-91.998076","WGS84","Louise & Lee","based on Collectors description","GeoLocate","516","c831cf1f-a4d6-4fc5-a827-2faa67dc1c17"
"0068140MOR","33.276234","-83.704359","WGS84","Louise & Lee","based on collectors description","GeoLocate","601","c04d78ed-b2ba-4efc-9391-53497f3f0ca4"
"0068141MOR","29.176449","-81.769851","WGS84","Louise & Lee","based on collectors description","GeoLocate","217","cecd7356-c093-4ff3-a001-04800a698f8d"
"0068143MOR","29.854142","-97.70552","WGS84","Louise & Lee","based on collectors description","GeoLocate","999","f4c4a56a-4a00-43e1-b0db-8e64d1655225"
"0068144MOR","33.27278","-95.87916","WGS84","Louise & Lee","based on collectors description","GeoLocate","2127","5fab8da6-8069-4933-b2f2-992e8c659223"
"0068145MOR","36.627338","-78.826095","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","6cbe4925-d775-414d-bf53-26acc061ceb5"
"0068146MOR","39.033014","-77.321259","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2123","4fde41be-ac47-4d90-a97e-8b22d40ebfcc"
"0068147MOR","38.786505","-78.586574","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1314","cba2a9c7-8486-4739-baf6-a4af3bbcf368"
"0068148MOR","33.673027","-83.52991","WGS84","Louise & Lee","based on collectors description","GeoLocate","603","ab75e6bc-0ac6-4268-aa97-44734936ff89"
"0068149MOR","33.170276","-84.010777","WGS84","Louise & Lee","based on collectors description","GeoLocate","301","d8a7b16b-b4af-47e1-a695-d09ffe0a3abb"
"0068150MOR","38.12569","-86.815492","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1219","1f1a5514-6895-4ff6-9740-e7a68c7d2878"
"0068151MOR","40.625796","-91.711649","WGS84","Louise & Lee","based on Collectors description","GeoLocate","187","c3a0ad2e-9196-4222-b8ea-94338ad52d36"
"0068152MOR","40.637582","-91.673266","WGS84","Louise & Lee","based on Collectors description","GeoLocate","353","dce45fa1-f38c-4ad7-8c0d-32619fb61148"
"0068153MOR","40.637582","-91.673266","WGS84","Louise & Lee","based on Collectors description","GeoLocate","353","47bbc43b-35bc-44a8-a126-1daae8fe6c47"
"0068154MOR","37.075895","-94.663017","WGS84","Louise & Lee","based on collectors description","GeoLocate","2113","8c99cb5b-839e-47b1-878f-88bb943360bc"
"0068155MOR","37.08558","-88.620647","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2003","c65d2eef-eced-481f-bf76-37539dfe2dd1"
"0068156MOR","37.294951","-87.125582","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1990","b54db590-a46d-4e0c-bf61-b241bfc243fc"
"0068157MOR","32.342758","-92.218223","WGS84","Louise & Lee","based on Collectors description","GeoLocate","392","3cff053a-ed4d-4a17-9574-2aae4f419e1a"
"0068179MOR","41.816598","-88.071431","WGS84","Kate Lueders","Based on collector description","GeoLocate","234","496e6bba-773a-43e1-9c80-cb75978ac9e4"
"0068202MOR","41.423612","-89.663087","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","b3d8cba9-7adf-4655-989d-d2d6d8684454"
"0068203MOR","39.368385","-90.790832","WGS84","Louise and Lee","based on collectors description","GeoLocate","209","3813d435-22c0-4298-bb1e-063ce3601433"
"0068204MOR","42.052959","-89.936616","WGS84","Louise and Lee","based on collectors description","GeoLocate","170","5deedf30-534d-48dd-9488-a774a5eb0045"
"0068205MOR","42.100765","-89.984277","WGS84","Louise and Lee","based on collectors description","GeoLocate","194","3137c73a-421a-41f1-8126-5f24223d389f"
"0068206MOR","40.377615","-87.960439","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","5179fd57-d88c-458b-8e47-3bd3078846bc"
"0068207MOR","39.482675","-89.423367","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","868a2fcc-81c8-4f30-a0f6-4a6858d8f4a9"
"0068208MOR","39.345383","-87.712063","WGS84","Louise and Lee","based on collectors description","GeoLocate","160","4492a14f-c882-4068-aaee-bfed485dab6e"
"0068209MOR","38.849599","-88.380012","WGS84","Louise and Lee","based on collectors description","GeoLocate","42","62aaed13-0f58-42b0-a887-b70f44b914ef"
"0068210MOR","39.385061","-88.1729","WGS84","Louise and Lee","based on collectors description","GeoLocate","203","cfa393fe-d9ea-4f7c-95fe-11d631a9bb71"
"0068212MOR","39.099136","-87.729409","WGS84","Louise and Lee","based on collectors description","GeoLocate","142","849d13da-c0ab-42fa-bb93-01a8c520951f"
"0068213MOR","39.278017","-88.172835","WGS84","Louise and Lee","based on collectors description","GeoLocate","147","e296b5b8-8b85-458e-9e3e-1b179de4ba1f"
"0068214MOR","40.196206","-88.721826","WGS84","Louise and Lee","based on collectors description","GeoLocate","167","b0a3bbda-494f-447d-b935-bf1ad86721dd"
"0068215MOR","39.697812","-88.037814","WGS84","Louise and Lee","based on collectors description","GeoLocate","215","7ed736dd-957e-42d8-8808-3bf34d8692e1"
"0068223MOR","24.582229","-98.942077","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2060","5e514e8a-37d4-4536-9b69-ce31107db72e"
"0068225MOR","25.620235","-100.364643","WGS84","Louise & Lee","based on Collectors description","GeoLocate","301","428e5794-a73f-4d3d-9fa4-a59902c2cf24"
"0068227MOR","33.804648","-84.142918","WGS84","Louise & Lee","based on collectors description","GeoLocate","829","576cc857-d5d2-4a06-9e2a-7db15ad2853f"
"0068228MOR","31.06371","-104.183504","WGS84","Louise & Lee","based on collectors description","GeoLocate","2017","f565337e-2cc5-4d5b-bd38-1e9720ba0e4a"
"0068229MOR","48.174364","16.241011","WGS84","Louise & Lee","based on collectors description","GeoLocate","1948","a0695191-375f-4271-a11c-b2ea5736f096"
"0068230MOR","50.900317","7.876781","WGS84","Louise & Lee","based on collectors description","GeoLocate","204","a7abfe92-71e8-4123-b6c1-21ee54f84d2b"
"0068232MOR","31.357577","-108.743143","WGS84","Louise & Lee","based on collectors description","GeoLocate","2006","13b4efc7-87de-4053-8b39-8ee2a88f6295"
"0068234MOR","36.857456","-89.580785","WGS84","Louise & Lee","based on Collectors description","GeoLocate","204","2a6495f0-0549-4a5a-96c8-4c59d3ef692d"
"0068235MOR","35.144551","-90.001859","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2080","a1e5971e-7ae9-4ca0-a30a-18d4f6d1fa0c"
"0068236MOR","32.640285","-90.595686","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2016","bb1cf193-58f6-461a-ac3c-6eaf1a1c4c40"
"0068237MOR","33.424006","-90.915101","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1916","5d41b766-d29a-431d-a574-952fa21ed638"
"0068238MOR","32.640285","-90.595686","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2016","63c87dcd-8e1f-4468-bb8c-8d9b0b482af8"
"0068239MOR","37.207993","-89.701276","WGS84","Louise & Lee","based on Collectors description","GeoLocate","315","b3a045f3-d9cb-4297-81bd-614bd5e34dec"
"0068240MOR","36.521176","-90.414228","WGS84","Louise & Lee","based on Collectors description","GeoLocate","531","4b5dbef3-1219-435f-bcb3-f31effa8a8e9"
"0068241MOR","37.215526","-89.680865","WGS84","Louise & Lee","based on Collectors description","GeoLocate","206","49227149-def1-4aa5-ba91-83605c049a4b"
"0068242MOR","35.342694","-89.488283","WGS84","Louise & Lee","based on Collectors description","GeoLocate","194","fe3734cf-b584-4c02-9214-e4f3c74078f0"
"0068243MOR","30.449266","-94.899388","WGS84","Louise & Lee","based on collectors description","GeoLocate","2012","38e8cadc-da1d-48ee-b569-3036ca118bae"
"0068244MOR","36.383215","-90.330916","WGS84","Louise & Lee","based on collectors description","GeoLocate","213","04240433-f8cc-446f-ba0f-adcdcb356bee"
"0068245MOR","34.384213","-91.106477","WGS84","Louise & Lee","based on collectors description","GeoLocate","2022","35bd945e-38a1-4f90-906a-640d9a6bec25"
"0068246MOR","34.31862","-87.450908","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","561bc097-ebb9-4ef2-bd9d-60a07f6c96d3"
"0068247MOR","34.437988","-86.592022","WGS84","Louise & Lee","based on collectors description","GeoLocate","301","c9826b1c-d156-4e88-a29c-a50b56b6f957"
"0068248MOR","31.38238","-87.957329","WGS84","Louise & Lee","based on collectors description","GeoLocate","1001","85b99415-355b-4ada-9705-5b8086e37b99"
"0068249MOR","34.785062","-91.458462","WGS84","Louise & Lee","based on collectors description","GeoLocate","2002","49953abe-b618-49d6-be81-05878b257efe"
"0068250MOR","33.052155","-91.414179","WGS84","Louise & Lee","based on collectors description","GeoLocate","196","2eff095e-9c6c-427b-811d-a6472b30f712"
"0068251MOR","34.92587","-88.039416","WGS84","Louise & Lee","based on collectors description","GeoLocate","343","61a3926a-3ff5-4c5f-b909-d7d01e36d6b5"
"0068252MOR","31.274141","-92.467008","WGS84","Louise & Lee","based on Collectors description","GeoLocate","198","5c15e8f8-da8a-4d81-bc77-16a205c8a15a"
"0068253MOR","34.792619","-91.458805","WGS84","Louise & Lee","based on collectors description","GeoLocate","2071","893af1f2-2946-4241-989f-5293e77101da"
"0068254MOR","31.821159","-92.971237","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1965","6106c715-c77d-454c-9c21-109b1c94fa84"
"0068255MOR","31.496839","-92.859322","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2014","3884f609-8d59-4df4-83de-46c3b7d1fa90"
"0068256MOR","39.854394","-90.441551","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","019fc772-345e-4648-9f49-7c99a23487ee"
"0068257MOR","39.617425","-88.696191","WGS84","Louise and Lee","based on collectors description","GeoLocate","152","6305bf29-f672-4763-a746-620bf39dae33"
"0068258MOR","42.0461","-89.328189","WGS84","Louise and Lee","based on collectors description","GeoLocate","187","cbd6a8ae-49fd-48f6-ab19-9623ce5d6540"
"0068259MOR","42.0076","-89.278552","WGS84","Louise and Lee","based on collectors description","GeoLocate","168","f0fe8064-13df-4a40-96f7-0f2261b84096"
"0068260MOR","42.011212","-89.278744","WGS84","Louise and Lee","based on collectors description","GeoLocate","202","1de7913a-3bbd-4fb8-8815-63bebfd61d7b"
"0068261MOR","42.034276","-89.331534","WGS84","Louise and Lee","based on collectors description","GeoLocate","191","3fd03a00-a31d-4b7e-9939-289844abaf23"
"0068262MOR","42.011307","-89.320998","WGS84","Louise and Lee","based on collectors description","GeoLocate","347","c05e2a10-3379-4818-a2b1-a2ff236a3c90"
"0068263MOR","40.753176","-89.573555","WGS84","Louise and Lee","based on collectors description","GeoLocate","392","50772c96-d4a1-4ce8-a9f1-23aff983e9a6"
"0068264MOR","38.101896","-89.397109","WGS84","Louise and Lee","based on collectors description","GeoLocate","183","f7f8bf8a-fe62-48c0-ad3d-67246e1c816d"
"0068265MOR","40.093867","-88.534929","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","37f0becb-5aa2-469c-9f31-4b59abab17dd"
"0068266MOR","39.698048","-90.64797","WGS84","Louise and Lee","based on collectors description","GeoLocate","193","73137368-12ff-4626-a295-cb5caaba29f6"
"0068267MOR","41.257243","-89.300943","WGS84","Louise and Lee","based on collectors description","GeoLocate","210","10cb1cc0-c9ac-4609-8df8-16cca8931a19"
"0068268MOR","38.598683","-88.056821","WGS84","Louise and Lee","based on collectors description","GeoLocate","175","d140240a-7c9b-49cd-867a-c8f85c133bc8"
"0068269MOR","41.438672","-90.766661","WGS84","Louise and Lee","based on collectors description","GeoLocate","186","944118b1-c294-4f4f-ac56-f9d5e5eed14a"
"0068270MOR","37.629673","-88.402145","WGS84","Louise and Lee","based on collectors description","GeoLocate","193","f94cbed2-9e20-42ba-8829-fea9768ebb7d"
"0068271MOR","39.871699","-89.620082","WGS84","Louise and Lee","based on collectors description","GeoLocate","298","be2988f4-ffbd-4d63-b3fe-37f031c62c3d"
"0068272MOR","40.168178","-90.318598","WGS84","Louise and Lee","based on collectors description","GeoLocate","206","dec9bbd4-53de-47ec-83e2-d4fb70a8f90d"
"0068273MOR","39.622534","-90.377662","WGS84","Louise and Lee","based on collectors description","GeoLocate","219","e4537464-2423-4411-8227-05c0f721d1b5"
