"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters","MatchGUID"
"0062191MOR","48.422626","-123.372831","WGS84","Louise & Lee","based on collectors description","GeoLocate","1974","b2369829-d0e9-489c-bccd-a5123c5cb560"
"0062192MOR","48.422626","-123.372831","WGS84","Louise & Lee","based on collectors description","GeoLocate","1974","ba08c997-3272-4c6c-883a-f58392ccf132"
"0062193MOR","49.208709","-123.971024","WGS84","Louise & Lee","based on collectors description","GeoLocate","214","8e5f7127-b03f-4217-9bef-465cba35515b"
"0062194MOR","42.411939","-122.083195","WGS84","Louise & Lee","based on collectors description","GeoLocate","1952","b20893d6-17d6-4a31-9ce4-e7740c082371"
"0062195MOR","48.456667","-123.325556","WGS84","Louise & Lee","based on collectors description","GeoLocate","229","c3720109-8b17-4845-a745-b77842cfb74f"
"0062196MOR","44.987782","-93.180936","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","9a57c8a9-f969-4f76-a901-9fed0df9e985"
"0062197MOR","44.987782","-93.180936","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","5397446c-46ec-452d-be3b-3d174f578559"
"0062198MOR","44.987782","-93.180936","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","e3c0df54-4cd0-4e79-88bb-80e263a7d1ae"
"0062199MOR","44.987782","-93.180936","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","170536ba-5ad4-455e-b366-fb66b8ba66ed"
"0062200MOR","44.987782","-93.180936","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","86140eb8-13e0-48c5-b296-4aa21bf4a222"
"0062262MOR","30.944295","-103.857047","WGS84","Louise & Lee","based on collectors description","GeoLocate","1914","15ece97f-9e32-4dad-9d47-64c216e7c4c3"
"0062263MOR","29.268528","-103.30204","WGS84","Louise & Lee","based on collectors description","GeoLocate","305","6836405a-7189-440b-bfd3-7d5f71d02d9b"
"0062264MOR","29.243477","-103.30457","WGS84","Louise & Lee","based on collectors description","GeoLocate","190","72927b98-6067-4919-990f-5406f7aab233"
"0062265MOR","29.245085","-103.305494","WGS84","Louise & Lee","based on collectors description","GeoLocate","186","2d1974dc-88a9-4f94-b09f-9f61c04e9dd4"
"0062266MOR","30.58859","-103.895194","WGS84","Louise & Lee","based on collectors description","GeoLocate","87","be6d5a80-5d45-4cb0-b412-c54dce169a58"
"0062267MOR","29.281867","-103.336566","WGS84","Louise & Lee","based on collectors description","GeoLocate","238","a4254774-138f-4f75-8bf5-658cd51fd8dd"
"0062268MOR","39.098058","-87.728842","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","199","1710426a-bafd-4308-811c-b6454ecbdb48"
"0062269MOR","39.274767","-88.173629","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","215","568fa961-ed71-428f-999f-c956a1f5fed3"
"0062270MOR","40.151032","-88.804095","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","224","f6a2a1b0-8762-405d-a974-4f8e3163c6d6"
"0062271MOR","39.697812","-88.037814","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","231","1a49b19d-7d7a-4abd-88a8-3db23a666931"
"0062272MOR","39.538093","-87.826636","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1674","90b989c8-fe8d-46db-a982-1f431a45848f"
"0062274MOR","38.987347","-88.609071","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","200","fec66e39-75a5-49ad-8558-6ebf99a9e291"
"0062275MOR","39.039062","-88.871148","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","cca62493-577e-4e88-90e4-1aedb8ab20a7"
"0062333MOR","40.413948","-88.019784","WGS84","Louise & Lee","based on collectors description","GeoLocate","199","837d0c74-9778-4b09-9232-d75320e8f4d5"
"0062334MOR","38.086949","-88.951006","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","5b200027-142c-4d6f-bfb1-54e7e7275100"
"0062335MOR","40.333945","-90.18997","WGS84","Louise & Lee","based on collectors description","GeoLocate","186","e62124ea-9b40-4f11-b83d-98106e1ab188"
"0062337MOR","39.382182","-90.41146","WGS84","Louise & Lee","based on collectors description/ believe rt267 is rt 67","GeoLocate","212","120ba86a-d729-4035-8b01-d5e33bdf960e"
"0062338MOR","38.23127","-88.692023","WGS84","Louise & Lee","based on collectors description","GeoLocate","197","8a4a7657-0e06-44bc-949e-9739c42d8815"
"0062339MOR","40.591945","-91.138835","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","a5182333-8d1d-437e-95e9-b497e77e2a91"
"0062340MOR","37.488179","-88.239891","WGS84","Louise & Lee","based on collectors description","GeoLocate","254","15275929-c228-439f-94ec-a216a05e84ec"
"0062399MOR","40.65471","-90.980908","WGS84","Louise & Lee","based on collectors description","GeoLocate","188","b3165e65-cae0-463e-9f3d-0c01b5121fc9"
"0062400MOR","40.750402","-87.719219","WGS84","Louise & Lee","based on collectors description","GeoLocate","969","c68dcee2-4402-4939-b108-365242305cd9"
"0062401MOR","40.816762","-87.590055","WGS84","Louise & Lee","based on collectors description","GeoLocate","84","042607dc-4779-4877-80ef-4bf3c0fd223c"
"0062402MOR","40.79263","-87.747563","WGS84","Louise & Lee","based on collectors description","GeoLocate","208","78b1c307-eaf2-4ea0-beb6-7e672766b73e"
"0062403MOR","40.816555","-87.590222","WGS84","Louise & Lee","based on collectors description","GeoLocate","84","c8bbda52-cedd-4efd-9713-2939e0827f9f"
"0062404MOR","37.936633","-89.170239","WGS84","Louise & Lee","based on collectors description","GeoLocate","202","55d57286-2081-4a06-8c57-56df0f87f9f5"
"0062410MOR","39.013612","-88.122235","WGS84","Louise & Lee","based on collectors description","GeoLocate","185","42b73e75-f8df-46fc-a83b-1d9bda8b0b25"
"0062452MOR","42.501778","-87.812192","WGS84","Louise and Lee","based on collectors description & Wisconsin DNR via internet","GeoLocate","175","c11c82c5-f3af-4c1e-92cc-30be64f533c9"
"0062463MOR","42.501778","-87.812192","WGS84","Louise and Lee","based on collectors description & Wisconsin DNR via internet","GeoLocate","175","d5842fb2-9446-4cfe-8459-99e0d5a3cc4d"
"0062571MOR","38.168975","-89.022821","WGS84","louise & lee","based on collectors description","GeoLocate","203","5c1868ab-7360-4eca-adb4-98f695b090c2"
"0062572MOR","38.309551","-89.1227","WGS84","louise & lee","based on collectors description","GeoLocate","146","2602d7a4-0397-49ad-a59e-be1024ea3f6b"
"0062573MOR","39.034633","-90.535283","WGS84","louise & lee","based on collectors description","GeoLocate","186","e32e2df6-f7e5-4ded-96f4-73abb109cfee"
"0062574MOR","37.386026","-88.810594","WGS84","louise & lee","based on collectors description","GeoLocate","249","e275c1d7-36fd-493e-a426-93aef97a1fb1"
"0062575MOR","37.497417","-88.759354","WGS84","louise & lee","based on collectors description","GeoLocate","184","971102ad-3c37-467a-ba32-71068282b401"
"0062576MOR","40.988818","-90.384209","WGS84","louise & lee","based on collectors description","GeoLocate","365","c35b89b7-6b1e-42ba-964c-a407c71da530"
"0062577MOR","41.303197","-88.643111","WGS84","louise & lee","based on collectors description","GeoLocate","212","f0b5d839-c308-4c1d-877c-0a2ed01bc7bd"
"0062578MOR","38.723679","-87.834004","WGS84","louise & lee","based on collectors description","GeoLocate","177","1af70371-13f4-4c4d-bca9-4f62aad1425d"
"0062579MOR","38.736162","-87.840412","WGS84","louise & lee","based on collectors description","GeoLocate","176","2b9b2684-4f48-4e49-b7fd-1ce2be9b326f"
"0062595MOR","41.065006","-88.791902","WGS84","louise & lee","based on collectors description","GeoLocate","194","43f2122f-ee3a-43fa-8538-65682e12fdc0"
"0062596MOR","40.118497","-89.394553","WGS84","louise & lee","based on collectors description","GeoLocate","183","99f6263e-fdd3-4d2d-bf80-9c3e04ac1a47"
"0062597MOR","31.113036","-86.111097","WGS84","Louise & Lee","based on collectors description","GeoLocate","758","e747476d-c4bd-4cf1-9b22-40a1d17eac2e"
"0062598MOR","32.02079","-87.372696","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","1132a354-10a9-420d-9b9c-ae8b101bae83"
"0062599MOR","31.005158","-86.251793","WGS84","Louise & Lee","based on collectors description","GeoLocate","527","daf354d3-9b64-4075-9e54-6b5b3ca3a848"
"0062600MOR","31.220968","-87.186942","WGS84","Louise & Lee","based on collectors description","GeoLocate","1945","0b606c1f-d87f-4f1a-8887-9b2e91763b3c"
"0062601MOR","31.228014","-87.192435","WGS84","Louise & Lee","based on collectors description","GeoLocate","1945","8afdc35a-8911-4228-80ae-83924ac0791c"
"0062602MOR","31.2559","-87.191405","WGS84","Louise & Lee","based on collectors description","GeoLocate","1073","345f8192-95da-4d6c-8cae-c3a8d423367e"
"0062603MOR","32.468208","-85.81462","WGS84","Louise & Lee","based on collectors description","GeoLocate","779","f7a492c6-32b9-47e4-bdf0-3b0016781fad"
"0062604MOR","30.605388","-87.406257","WGS84","Louise & Lee","based on collectors description","GeoLocate","214","8f664d63-e3b4-415d-97a5-7dd31539859c"
"0062605MOR","31.192835","-85.307058","WGS84","Louise & Lee","based on collectors description","GeoLocate","1953","33303197-928a-4dc6-a86d-a0943dcbf195"
"0062606MOR","31.106433","-85.085601","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","907b3b91-2024-401c-bd37-332b7f418f9c"
"0062607MOR","31.143201","-87.697189","WGS84","Louise & Lee","based on collectors description","GeoLocate","2033","0941ad7f-6bce-40c3-8ce2-b8f007a2bc0c"
"0062608MOR","31.106433","-85.085601","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","4f49f3c1-05ff-4159-9020-e2a0b78b7cb9"
"0062609MOR","31.38239","-88.008335","WGS84","Louise & Lee","based on collectors description","GeoLocate","2006","e8868d8b-2928-438d-8a9f-4058255bb259"
"0062610MOR","31.266282","-88.03139","WGS84","Louise & Lee","based on collectors description","GeoLocate","2070","8bf616cf-87d2-4dd7-beda-788b3804eff2"
"0062611MOR","31.159397","-87.678323","WGS84","Louise & Lee","based on collectors description","GeoLocate","2058","6d4f7989-3968-496c-b85a-5ee6ef7c02d8"
"0062612MOR","30.651578","-86.958185","WGS84","Louise & Lee","based on collectors description","GeoLocate","969","88354ed3-6998-4363-a26c-5fd990d80172"
"0062613MOR","30.523572","-87.23531","WGS84","Louise & Lee","based on collectors description","GeoLocate","213","bf5558c4-2285-4ec1-baa1-d449040a4189"
"0062614MOR","30.673447","-86.567449","WGS84","Louise & Lee","based on collectors description","GeoLocate","969","0189824c-1f57-4cd2-9d04-cf5d15c861fd"
"0062686MOR","31.929349","-82.679583","WGS84","Louise & Lee","based on collectors description","GeoLocate","1997","f692f06a-3ba3-412b-9ac1-b2bd980208e0"
"0062687MOR","30.876023","-84.431298","WGS84","Louise & Lee","based on collectors description","GeoLocate","1001","d5b13998-e736-4b78-8741-6adaacaa5e3d"
"0062688MOR","33.964811","-95.405365","WGS84","Louise & Lee","based on collectors description","GeoLocate","10139","0f799db2-2ec3-4305-8396-9fcee09c9a6a"
"0062689MOR","34.029745","-95.091438","WGS84","Louise & Lee","based on collectors description","GeoLocate","498","3fe2f915-a836-4052-91cf-e3573af2b9a7"
"0062753MOR","40.094581","-88.535251","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","80711a72-f833-46e1-baea-cf74292eb992"
"0062754MOR","37.89724","-89.821987","WGS84","Louise & Lee","based on collectors description","GeoLocate","179","90f72706-7641-4877-95cb-fe29594a5abc"
"0062755MOR","38.598683","-88.056821","WGS84","Louise & Lee","based on collectors description","GeoLocate","165","a3acdc38-c07d-4566-9d5f-cf95ee5fe518"
"0062756MOR","37.628997","-88.38545","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","9c0d475a-9bc9-4ade-b7e7-9d86ef8d0119"
"0062757MOR","39.870052","-89.625403","WGS84","Louise & Lee","based on collectors description","GeoLocate","238","bdd3c74b-919f-4137-b487-701b1c6ed40c"
"0062758MOR","39.637001","-90.392588","WGS84","Louise & Lee","based on collectors description","GeoLocate","131","436acebd-e1f5-4020-9bcf-e164e289d6eb"
"0062759MOR","40.169466","-90.337888","WGS84","Louise & Lee","based on collectors description","GeoLocate","219","5d290735-30ed-43c2-ad89-ae3fc74f94e0"
"0062760MOR","39.499389","-88.708854","WGS84","Louise & Lee","based on collectors description","GeoLocate","273","42affa3f-a8f4-4a9d-87f8-5c5c3591cc9f"
"0062762MOR","41.181443","-89.742874","WGS84","Louise & Lee","based on collectors description","GeoLocate","233","43e13874-5243-4008-bba7-130f13392430"
"0062763MOR","38.278717","-89.93987","WGS84","Louise & Lee","based on collectors description/believe in Monroe cty","GeoLocate","216","963880eb-b5ea-4b35-b911-48d5879ed224"
"0062764MOR","40.431256","-89.48912","WGS84","Louise & Lee","based on collectors description","GeoLocate","78","4bb367dd-0d8c-4fcc-a0ad-f36b795ec795"
"0062765MOR","40.323509","-87.794629","WGS84","Louise & Lee","based on collectors description","GeoLocate","60","3f3a2f30-db23-4792-bece-0aca9502b1c6"
"0062766MOR","40.143705","-87.746603","WGS84","Louise & Lee","based on collectors description","GeoLocate","206","9b8b0b09-3964-49e5-b10d-d188ed2e181f"
"0062767MOR","38.356856","-87.83408","WGS84","Louise & Lee","based on collectors description","GeoLocate","203","93f8499a-9944-4106-af57-7543cd8bb102"
"0062768MOR","38.27078","-89.353924","WGS84","Louise & Lee","based on collectors description","GeoLocate","191","f3efebea-6646-4455-a894-b08b20c13d69"
"0062769MOR","38.278025","-88.677133","WGS84","Louise & Lee","based on collectors description","GeoLocate","175","c6219b60-4526-4106-b806-83a6ee8771b4"
"0062770MOR","38.243137","-88.073824","WGS84","Louise & Lee","based on collectors description","GeoLocate","2068","e6a7e0eb-ac9e-4692-b830-4dc6a87f1960"
"0062771MOR","37.693955","-89.018898","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","232","1cdbcc13-6407-43fe-9c7f-f8927e61c173"
"0062772MOR","40.638933","-89.261289","WGS84","Louise & Lee","based on Collectors description","GeoLocate","203","ce968648-f583-4079-8526-71dd0f1847b1"
"0062773MOR","40.143508","-87.746689","WGS84","Louise & Lee","based on collectors description","GeoLocate","188","582a02cc-8da8-4bfa-9cab-81a2bdfb94f7"
"0062774MOR","37.5978","-90.628131","WGS84","Louise","based on Collectors description","GeoLocate","1994","1d7663b2-e1c4-4c9c-9091-07a39eca6771"
"0062775MOR","40.143246","-87.746346","WGS84","Louise & Lee","based on collectors description","GeoLocate","165","783675df-6a52-4c45-a61a-d9347e67dfd7"
"0062777MOR","38.851675","-94.343838","WGS84","Louise","based on Collectors description","GeoLocate","2026","0588023a-5a9c-4419-a5ba-647cb942bcb7"
"0062778MOR","40.688649","-89.6451","WGS84","Louise & Lee","based on collectors description","GeoLocate","301","f8689496-00c8-4dbd-aaf6-cf43f6ec35cd"
"0062779MOR","38.99286","-94.51505","WGS84","Louise","based on Collectors description","GeoLocate","801","b220ecfd-7872-43d8-bac8-1e2a9f095cfc"
"0062780MOR","40.688492","-89.645117","WGS84","Louise & Lee","based on collectors description","GeoLocate","229","48258787-2431-4048-85a2-45ed516fb1ee"
"0062781MOR","40.703481","-89.619864","WGS84","Louise & Lee","based on collectors description","GeoLocate","281","fb7f40ec-7dbf-47e5-8dfc-03b205a22bed"
"0062782MOR","38.729638","-88.084485","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2086","a87830fe-df68-4a8d-b4e3-660e1e764acc"
"0062784MOR","29.728629","-99.995512","WGS84","Louise & Lee","based on collectors description","GeoLocate","2193","f2c7b010-e8ee-40ba-b637-5dd99a09dd32"
"0062785MOR","30.917674","-99.786459","WGS84","Louise & Lee","based on collectors description","GeoLocate","2007","259eda58-1589-4542-80c0-56adb93e16af"
"0062786MOR","29.729133","-99.761448","WGS84","Louise & Lee","based on collectors description","GeoLocate","1983","fc26a034-6484-47eb-a5e4-4d9d9205430f"
"0062787MOR","29.729133","-99.761448","WGS84","Louise & Lee","based on collectors description","GeoLocate","1983","e4ebacb0-ecd2-40de-823d-d411abc0e083"
"0062788MOR","29.495466","-99.711745","WGS84","Louise & Lee","based on collectors description","GeoLocate","1986","caea25d7-5fcd-44f6-8187-f7eff4d17172"
"0062789MOR","29.627526","-99.424497","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","0c59e7b4-5571-456f-ad90-0161fec53581"
"0062790MOR","30.03229","-99.137241","WGS84","Louise & Lee","based on collectors description","GeoLocate","1955","cfb8a50a-a41a-41a3-8039-cca6affc689d"
"0062791MOR","29.60392","-99.746543","WGS84","Louise & Lee","based on collectors description","GeoLocate","2069","725ece4e-f9b9-4800-9d1d-095e6580cb25"
"0062792MOR","29.794664","-98.73197","WGS84","Louise & Lee","based on collectors description","GeoLocate","2071","6521e2d9-0861-4c39-9e8b-0db017cf52ce"
"0062793MOR","29.627526","-99.424497","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","f32a4a56-4602-49a8-a176-f6f2dfafa763"
"0062794MOR","30.047433","-99.140319","WGS84","Louise & Lee","based on collectors description","GeoLocate","1991","3e015a4d-ca0a-4525-bbfb-d994197d940d"
"0062795MOR","33.922845","-100.045381","WGS84","Louise & Lee","based on collectors description","GeoLocate","1963","dab6f0e4-4a5b-4014-9d8a-c7ad68b42202"
"0062796MOR","30.047433","-99.140319","WGS84","Louise & Lee","based on collectors description","GeoLocate","1991","68210711-8b47-40fe-946b-7cbeef76538a"
"0062797MOR","25.347706","-100.280631","WGS84","Louise & Lee","based on collectors description","GeoLocate","2017","74391f83-d369-4407-9912-59ecdef87169"
"0062798MOR","36.513304","-118.782082","WGS84","Louise & Lee","based on collectors description","GeoLocate","2002","3cb6d537-5fa0-49ef-bcc8-9483f3f8258a"
"0062799MOR","36.00362","-121.236475","WGS84","Louise & Lee","based on collectors description","GeoLocate","1984","8053698a-0c9f-427a-a004-c6711cc09e1e"
"0062801MOR","36.00362","-121.236475","WGS84","Louise & Lee","based on collectors description","GeoLocate","1984","a242944d-8ade-4f61-91b9-a44d33a6ff82"
"0062802MOR","31.293244","-87.765514","WGS84","Louise & Lee","based on collectors description","GeoLocate","250","283d8420-859f-4f7a-bbde-21e5a6488baa"
"0062803MOR","31.336585","-87.283595","WGS84","Louise & Lee","based on collectors description","GeoLocate","2250","7bc84725-8528-4427-9b4e-92e96916fe7e"
"0062804MOR","31.079474","-86.887371","WGS84","Louise & Lee","based on collectors description","GeoLocate","212","6283fbd0-ca1d-445d-88e5-7d053fda93a2"
"0062805MOR","34.618642","-85.966855","WGS84","Louise & Lee","based on collectors description","GeoLocate","2003","4d48c9ae-3306-46cb-897e-c4f554fa218d"
"0062806MOR","31.383113","-87.93776","WGS84","Louise & Lee","based on collectors description","GeoLocate","1998","77633c08-95a1-4fc6-9fd9-1c8c84f636b7"
"0062807MOR","34.980506","-87.175591","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","1bedd908-6ec2-4028-9294-c2d7e9d28e7c"
"0062808MOR","31.517362","-87.942447","WGS84","Louise & Lee","based on collectors description","GeoLocate","205","8ab32a71-b831-408f-b992-7fefa7b6fd8d"
"0062809MOR","31.515929","-87.943821","WGS84","Louise & Lee","based on collectors description","GeoLocate","211","af4d7beb-0e90-42e3-bc70-4e78869d9e52"
"0062810MOR","31.489564","-86.362964","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","4085a8b3-75c1-442f-b096-a72cd16e6320"
"0062811MOR","34.711493","-92.304015","WGS84","Louise & Lee","based on collectors description","GeoLocate","2028","39202d42-09ba-4f00-bdab-0c0011a32188"
"0062812MOR","35.869919","-90.147813","WGS84","Louise & Lee","based on collectors description","GeoLocate","2008","3e69d78c-30c8-4043-a178-e04303a42995"
"0062813MOR","35.842297","-90.704279","WGS84","Louise & Lee","based on collectors description","GeoLocate","2084","3c2d1e4e-090c-44a3-b879-af1e2c966ca2"
"0062814MOR","35.217894","-91.463925","WGS84","Louise & Lee","based on collectors description","GeoLocate","2057","0fc940c7-060e-4cbe-b14a-d40537c72a2e"
"0062815MOR","33.657819","-93.821216","WGS84","Louise & Lee","based on collectors description","GeoLocate","515","b1348576-5837-4c1b-959f-48ae55e29a2a"
"0062816MOR","35.842297","-90.704279","WGS84","Louise & Lee","based on collectors description","GeoLocate","1983","a3ae9b4c-4278-4545-84c0-a2b5a27820c8"
"0062818MOR","30.638324","-84.899012","WGS84","Louise & Lee","based on collectors description","GeoLocate","210","f9506f58-55ef-4e67-b6f4-39100d745cf9"
"0062819MOR","34.225385","-85.182377","WGS84","Louise & Lee","based on collectors description","GeoLocate","238","af6f5550-24b5-4113-afaf-a28cfbfab47b"
"0062820MOR","31.72779","-92.359614","WGS84","Louise & Lee","based on Collectors description","GeoLocate","210","492ac522-815a-4f80-93a2-c70f08f5743d"
"0062821MOR","31.657137","-93.07746","WGS84","Louise & Lee","based on collectors description","GeoLocate","1950","43189e2b-c9a6-44cf-b557-3c304b4b4ebc"
"0062822MOR","31.414029","-93.174561","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1962","f49b1d23-1f84-461a-b7bc-3b02916af66f"
"0062823MOR","31.853827","-92.987911","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2068","a1c67f45-32cf-460d-8c0d-c1c0654f55e5"
"0062825MOR","31.847663","-92.957937","WGS84","Louise & Lee","based on Collectors description","GeoLocate","198","9459969e-733a-42a2-ad57-5f86e80b1401"
"0062826MOR","32.206586","-92.803185","WGS84","Louise & Lee","based on Collectors description","GeoLocate","191","3579369b-5879-44e0-89e0-eab4d69ba163"
"0062827MOR","31.833288","-93.086275","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1988","8581e090-2218-4103-b7fd-5633f91351f7"
"0062828MOR","31.675152","-93.045294","WGS84","Louise & Lee","based on Collectors description","GeoLocate","1987","8851d9b3-4cbf-4eae-b5ea-aac09ec5e0ba"
"0062830MOR","36.5945","-90.063297","WGS84","Louise","based on Collectors description","GeoLocate","2055","9bf5ed32-25c9-42f2-8a8a-50aab0a9422a"
"0062831MOR","35.88437","-77.025061","WGS84","Louise & Lee","based on Collectors description","GeoLocate","2002","f36b3b08-94fc-4716-9f19-7d80fd182b4e"
"0062832MOR","33.74143","-94.612912","WGS84","Louise & Lee","based on collectors description","GeoLocate","219","c8d737c6-4206-4845-a91e-ebf955d17456"
"0062833MOR","35.003814","-94.64161","WGS84","Louise & Lee","based on collectors description","GeoLocate","1968","91d8dbc8-5781-459c-b63f-4c52c0eb58eb"
"0062834MOR","33.000031","-80.402922","WGS84","Louise & Lee","based on Collectors description","GeoLocate","208","884013d9-2765-49b2-a4fb-5b0d84bd0d1b"
"0062835MOR","30.601425","-96.1974","WGS84","Louise & Lee","based on collectors description","GeoLocate","1934","b9a83957-3e2d-42f9-a432-1459a84a901f"
"0062836MOR","32.263057","-86.305519","WGS84","Louise & Lee","based on collectors description","GeoLocate","748","37b04e3a-46e8-46dd-9bb9-04ff01156501"
"0062837MOR","36.494346","-94.471498","WGS84","Louise & Lee","based on collectors description","GeoLocate","511","f16e21a0-c8d2-4575-8078-42992638f251"
"0062838MOR","36.040432","-90.656163","WGS84","Louise & Lee","based on collectors description","GeoLocate","1984","65c08a51-80d0-4cb1-b772-c0c6ca9d3931"
"0062839MOR","40.736219","-85.16314","WGS84","Louise & Lee","based on Collectors description","GeoLocate","200","11a393ed-d9c9-4464-9988-42abf06f51c8"
"0062840MOR","41.485254","-87.188779","WGS84","Louise and Lee","based on collectors description","GeoLocate","212","289cb7e1-4c0b-4cce-b37a-3c398b924260"
"0062841MOR","41.574111","-94.896543","WGS84","Louise & Lee","based on Collectors description","GeoLocate","67","a613466a-61d1-49cc-b917-b1e0e7f269d3"
"0062842MOR","37.07658","-94.649456","WGS84","Louise & Lee","based on collectors description","GeoLocate","2190","b2fb9d92-44c6-49b6-b970-46535a331033"
"0062843MOR","38.421678","-96.145427","WGS84","Louise & Lee","based on collectors description","GeoLocate","2611","f924293f-0f74-4c50-97be-80fbf20e46c2"
"0062845MOR","46.115729","-84.642751","WGS84","Louise & Lee","based on Collectors description","GeoLocate","227","87a77b0f-d320-4590-a63e-b6b38e9358e0"
"0062847MOR","40.075687","-90.944382","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","242","0fef26d3-fd1f-48c9-9d91-c475532fde47"
"0062848MOR","39.947836","-90.540019","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","200","f7b72858-d49f-4979-aa22-14a00e729753"
"0062849MOR","41.423531","-89.665233","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","184","5a097263-5a34-4200-9f15-d14df5e1858e"
"0062850MOR","41.423282","-89.666263","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","220","605a95b7-0f00-4941-888a-c310ed998729"
"0062851MOR","39.366876","-90.793814","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","194","1c1f5489-4b75-4ca1-93fc-688baf05eb1b"
"0062852MOR","41.942868","-89.855588","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","262","64e3007f-353f-452d-ac8f-4d4754a9a35a"
"0062853MOR","42.100765","-89.984277","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","194","f773c79b-d63d-4f46-b5b6-b415447294c7"
"0062854MOR","42.054099","-89.936806","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","222","03fea0ec-48bb-4d17-a826-c0fcc1fdca69"
"0062855MOR","40.036484","-90.146377","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","200","322950e4-13f5-4b35-afea-8c835737a725"
"0062856MOR","40.376751","-87.961598","WGS84","Louise & Lee","based on Collectors descripton","GeoLocate","210","e434db56-f84d-4688-9dd5-6dcc791daa3f"
"0062857MOR","38.225134","-88.699709","WGS84","Louise & Lee","based on collectors description","GeoLocate","209","133e4f8a-8009-463c-9dc6-88d8db690fbe"
"0062858MOR","40.592499","-91.137827","WGS84","Louise & Lee","based on collectors description","GeoLocate","207","99158423-db02-4e03-bfe4-426b757db57a"
"0062859MOR","37.484225","-88.336506","WGS84","Louise & Lee","based on collectors description","GeoLocate","189","c8520de2-abfb-4421-9503-7139dc72bda1"
"0062860MOR","40.659184","-90.981251","WGS84","Louise & Lee","based on collectors description","GeoLocate","191","e9b05aa2-0ab1-4060-b401-075579488ff2"
"0062861MOR","41.324212","-89.89687","WGS84","Louise & Lee","based on collectors description","GeoLocate","215","95dc5751-9c79-4569-81ad-e519fd374829"
"0062862MOR","40.595769","-87.776418","WGS84","Louise & Lee","based on collectors description","GeoLocate","117","80796cd4-7c6a-44f3-863a-6e50ddc2c17b"
"0062863MOR","37.936734","-89.170711","WGS84","Louise & Lee","based on collectors description","GeoLocate","195","19bf29ff-6af1-48f2-8a2b-ffabbcd2a44a"
"0062864MOR","38.213876","-89.000968","WGS84","louise & lee","based on collectors description","GeoLocate","207","cd22606f-d9a1-4b26-a547-f199b5064317"
"0062865MOR","39.158594","-90.550058","WGS84","louise & lee","based on collectors description","GeoLocate","231","831a8f04-99a1-442d-a15c-4f6716218d47"
"0062866MOR","42.2939","-90.128048","WGS84","louise & lee","based on collectors description","GeoLocate","90","0375e104-1e87-4654-9854-7ca72baae211"
"0062867MOR","40.988754","-90.383437","WGS84","louise & lee","based on collectors description","GeoLocate","302","3c4c469a-f4e1-41c1-9dfb-cea66e49f3d5"
"0062868MOR","41.3198","-88.699423","WGS84","louise & lee","based on collectors description","GeoLocate","47","bccb0c7c-e6b1-48a2-bab5-9b981f73075d"
"0062869MOR","41.302923","-88.643459","WGS84","louise & lee","based on collectors description","GeoLocate","227","20ebfad5-b828-4da8-b835-98d8e2b52bc3"
"0062870MOR","41.890971","-89.484782","WGS84","louise & lee","based on collectors description","GeoLocate","115","a7bcc0f8-c230-4ff3-85de-96825b952095"
"0062871MOR","41.065662","-88.791329","WGS84","louise & lee","based on collectors description","GeoLocate","200","6877f85f-6629-4ce2-b8a4-1e326d3d5784"
