"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0002142MOR","41.815076","-88.079123","WGS84","Louise & Lee","based on collectors description","GeoLocate","150"
"0002226MOR","41.8158","-88.038396","WGS84","Louise & Lee","based on collectors description","GeoLocate","204"
"0002227MOR","41.818341","-88.054082","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0002246MOR","41.820787","-88.171935","WGS84","Louise & Lee","based on collectors description","GeoLocate","206"
"0002296MOR","41.805742","-88.180693","WGS84","Louise & Lee","based on collectors description","GeoLocate","211"
"0002297MOR","41.805742","-88.180693","WGS84","Louise & Lee","based on collectors description","GeoLocate","211"
"0002320MOR","41.814801","-88.051071","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0002321MOR","41.813543","-88.091933","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0002322MOR","41.815217","-88.080425","WGS84","Louise & Lee","based on collectors description","GeoLocate","101"
"0002343MOR","41.812634","-88.092177","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0002346MOR","41.70464","-87.966226","WGS84","Louise & Lee","based on collectors description","GeoLocate","209"
"0002378MOR","31.202384","-85.34355","WGS84","Louise & Lee","based on collectors description","GeoLocate","186"
"0002381MOR","41.814855","-88.052108","WGS84","Louise & Lee","based on collectors description","GeoLocate","195"
"0002382MOR","41.811144","-88.061335","WGS84","Louise & Lee","based on collectors description","GeoLocate","203"
"0002383MOR","41.816608","-88.046336","WGS84","Louise & Lee","based on collectors description","GeoLocate","125"
"0002444MOR","41.816337","-88.037441","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0002445MOR","41.818085","-88.059232","WGS84","Louise & Lee","based on collectors description","GeoLocate","205"
"0002446MOR","41.820302","-88.071634","WGS84","Louise & Lee","based on collectors description","GeoLocate","98"
"0002449MOR","41.889358","-88.21865","WGS84","Louise & Lee","based on collectors description","GeoLocate","403"
"0002469MOR","41.81636","-88.038321","WGS84","Louise & Lee","based on collectors description","GeoLocate","207"
"0002470MOR","41.814649","-88.048041","WGS84","Louise & Lee","based on collectors description","GeoLocate","101"
"0002501MOR","41.769354","-87.959741","WGS84","Louise & Lee","based on collectors description","GeoLocate","104"
"0002530MOR","41.778895","-88.088465","WGS84","Louise & Lee","based on collectors description","GeoLocate","199"
"0002567MOR","41.814545","-88.048332","WGS84","Louise & Lee","based on collectors description","GeoLocate","153"
"0002568MOR","41.786908","-87.955407","WGS84","Louise & Lee","based on collectors description","GeoLocate","201"
"0002594MOR","41.692491","-87.972371","WGS84","Louise & Lee","based on collectors description","GeoLocate","190"
"0002599MOR","41.815377","-88.046737","WGS84","Louise & Lee","based on collectors description","GeoLocate","203"
"0002601MOR","41.81524","-88.054071","WGS84","Louise & Lee","based on collectors description","GeoLocate","200"
"0002634MOR","41.815076","-88.079123","WGS84","Louise & Lee","based on collectors description","GeoLocate","150"
