"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0065467MOR","33.179036|bannon-hipp|NA","-84.018519|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","206|bannon-hipp|NA"
"0065468MOR","33.71233|bannon-hipp|NA","-84.105194|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1080|bannon-hipp|NA"
"0065469MOR","33.684357|bannon-hipp|NA","-84.106485|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2065|bannon-hipp|NA"
"0065501MOR","34.113652|bannon-hipp|NA","-117.716021|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","497|bannon-hipp|NA"
"0065521MOR","43.13738|bannon-hipp|NA","-77.600054|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","59|bannon-hipp|NA"
"0065561MOR","32.198893|bannon-hipp|NA","-92.815931|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2026|bannon-hipp|NA"
"0065562MOR","32.933914|bannon-hipp|NA","-91.852909|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1904|bannon-hipp|NA"
"0065563MOR","29.93088|bannon-hipp|NA","-90.158745|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2067|bannon-hipp|NA"
"0065564MOR","29.757708|bannon-hipp|NA","-93.113008|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","184|bannon-hipp|NA"
"0065565MOR","31.761158|bannon-hipp|NA","-93.088013|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2066|bannon-hipp|NA"
"0065566MOR","31.761158|bannon-hipp|NA","-93.088013|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2066|bannon-hipp|NA"
"0065568MOR","30.426551|bannon-hipp|NA","-89.012781|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1951|bannon-hipp|NA"
"0065569MOR","31.462949|bannon-hipp|NA","-90.862013|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","206|bannon-hipp|NA"
"0065570MOR","33.432592|bannon-hipp|NA","-88.307644|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","1882|bannon-hipp|NA"
"0065571MOR","36.560345|bannon-hipp|NA","-90.518926|bannon-hipp|NA","WGS84|bannon-hipp|NA","Louise & Lee|bannon-hipp|NA","based on Collectors description|bannon-hipp|NA","GeoLocate|bannon-hipp|NA","2169|bannon-hipp|NA"
