"","decimallatitude","decimallongitude","geodeticdatum","georeferencedby","georeferenceremarks","georeferencesources","coordinateuncertaintyinmeters"
"0027355MOR","41.204463|Hipp, Andrew|NA","-87.984228|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise|Hipp, Andrew|NA","Based on state park mapping at Rock Creek|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","193|Hipp, Andrew|NA"
"0027356MOR","41.205045|Hipp, Andrew|NA","-87.985303|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise|Hipp, Andrew|NA","Based on mapping of state park along Rock Creek|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","220|Hipp, Andrew|NA"
"0027357MOR","42.552893|Hipp, Andrew|NA","-88.162539|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","202|Hipp, Andrew|NA"
"0027358MOR","42.275873|Bannon, Lee|NA","-87.833565|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise and Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","123|Bannon, Lee|NA"
"0027359MOR","41.359848|Hipp, Andrew|NA","-87.232242|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","189|Hipp, Andrew|NA"
"0027360MOR","42.173673|Hipp, Andrew|NA","-88.199712|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","127|Hipp, Andrew|NA"
"0027394MOR","41.669405|Hipp, Andrew|NA","-86.412227|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","188|Hipp, Andrew|NA"
"0027395MOR","42.83876|Hipp, Andrew|NA","-88.097207|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","166|Hipp, Andrew|NA"
"0027396MOR","41.562612|Hipp, Andrew|NA","-87.590561|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","194|Hipp, Andrew|NA"
"0027397MOR","42.014955|Hipp, Andrew|NA","-88.249668|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Andrew|Hipp, Andrew|NA","ambiguity about whether this is the NE4 of the NE4 of the NW4, or the NE4, then the NE4 of that and the NW4 of that|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","310|Hipp, Andrew|NA"
"0027398MOR","41.993762|Hipp, Andrew|NA","-88.462091|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","113|Hipp, Andrew|NA"
"0027399MOR","41.814119|Hipp, Andrew|NA","-88.063524|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","156|Hipp, Andrew|NA"
"0027400MOR","41.814695|Hipp, Andrew|NA","-88.051164|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","125|Hipp, Andrew|NA"
"0027401MOR","41.816998|Hipp, Andrew|NA","-88.052194|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","779|Hipp, Andrew|NA"
"0027402MOR","41.813655|Hipp, Andrew|NA","-88.034781|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","236|Hipp, Andrew|NA"
"0027404MOR","41.303004|Hipp, Andrew|NA","-88.575179|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","270|Hipp, Andrew|NA"
"0027405MOR","41.818533|Hipp, Andrew|NA","-88.078458|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","90|Hipp, Andrew|NA"
"0027406MOR","41.816422|Hipp, Andrew|NA","-88.062494|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","161|Hipp, Andrew|NA"
"0027407MOR","41.813383|Hipp, Andrew|NA","-88.075969|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","136|Hipp, Andrew|NA"
"0027408MOR","41.818533|Hipp, Andrew|NA","-88.078458|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","90|Hipp, Andrew|NA"
"0027409MOR","41.813383|Hipp, Andrew|NA","-88.075969|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","136|Hipp, Andrew|NA"
"0027410MOR","40.778574|Hipp, Andrew|NA","-87.164666|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","121|Hipp, Andrew|NA"
"0027411MOR","41.940402|Hipp, Andrew|NA","-88.455821|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","165|Hipp, Andrew|NA"
"0027433MOR","41.617342|Hipp, Andrew|NA","-86.842244|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","190|Hipp, Andrew|NA"
"0027436MOR","42.173888|Hipp, Andrew|NA","-88.271589|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","50|Hipp, Andrew|NA"
"0027437MOR","42.314611|Hipp, Andrew|NA","-88.224932|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","231|Hipp, Andrew|NA"
"0027438MOR","42.174337|Hipp, Andrew|NA","-88.198161|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","160|Hipp, Andrew|NA"
"0027439MOR","42.785581|Hipp, Andrew|NA","-88.21432|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","208|Hipp, Andrew|NA"
"0027440MOR","41.737296|Hipp, Andrew|NA","-86.485884|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","192|Hipp, Andrew|NA"
"0027441MOR","41.163475|Hipp, Andrew|NA","-89.741929|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","210|Hipp, Andrew|NA"
"0027442MOR","42.837766|Hipp, Andrew|NA","-88.467661|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","191|Hipp, Andrew|NA"
"0027443MOR","41.464383|Hipp, Andrew|NA","-87.681033|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","90|Hipp, Andrew|NA"
"0027444MOR","41.575087|Hipp, Andrew|NA","-87.955257|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","210|Hipp, Andrew|NA"
"0027445MOR","41.394712|Hipp, Andrew|NA","-87.763112|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","301|Hipp, Andrew|NA"
"0027451MOR","41.516064|Hipp, Andrew|NA","-88.315824|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","217|Bannon, Lee|NA"
"0027452MOR","41.562612|Hipp, Andrew|NA","-87.590561|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","194|Hipp, Andrew|NA"
"0027453MOR","41.764079|Hipp, Andrew|NA","-86.738391|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","161|Hipp, Andrew|NA"
"0027454MOR","41.5|Hipp, Andrew|NA","-87.59|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","could not narrow further because of street names due to curvature of earth|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","300|Hipp, Andrew|NA"
"0027455MOR","41.500576|Hipp, Andrew|NA","-88.432525|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","119|Hipp, Andrew|NA"
"0027456MOR","41.158953|Hipp, Andrew|NA","-87.529623|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","189|Hipp, Andrew|NA"
"0027457MOR","41.159182|Hipp, Andrew|NA","-86.964794|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","218|Hipp, Andrew|NA"
"0027458MOR","41.566934|Hipp, Andrew|NA","-87.603637|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","496|Hipp, Andrew|NA"
"0027459MOR","41.791797|Bannon, Lee|NA","-86.430366|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise and Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","172|Bannon, Lee|NA"
"0027460MOR","41.562612|Hipp, Andrew|NA","-87.590561|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","194|Hipp, Andrew|NA"
"0027461MOR","41.562612|Hipp, Andrew|NA","-87.590561|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","194|Hipp, Andrew|NA"
"0027467MOR","41.777539|Bannon, Lee|NA","-88.205313|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","2010|Bannon, Lee|NA"
"0027468MOR","41.778755|Bannon, Lee|NA","-88.123216|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","255|Bannon, Lee|NA"
"0027517MOR","40.957447|Hipp, Andrew|NA","-87.510207|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise|Hipp, Andrew|NA","based on collectors desc. & 1/4 sec|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","187|Hipp, Andrew|NA"
"0027518MOR","41.67539|Hipp, Andrew|NA","-86.996436|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors desc. & 1/4 sec|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","117|Hipp, Andrew|NA"
"0027519MOR","41.386651|Hipp, Andrew|NA","-88.241055|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","213|Hipp, Andrew|NA"
"0027520MOR","41.21613|Hipp, Andrew|NA","-87.275887|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","188|Hipp, Andrew|NA"
"0027521MOR","41.40484|Hipp, Andrew|NA","-86.735947|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","83|Hipp, Andrew|NA"
"0027522MOR","41.733599|Hipp, Andrew|NA","-86.874672|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","214|Hipp, Andrew|NA"
"0027523MOR","41.65341|Hipp, Andrew|NA","-87.048907|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Lee & Louise|Hipp, Andrew|NA","based on location of Ghost Town|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","3613|Hipp, Andrew|NA"
"0027524MOR","41.653378|Hipp, Andrew|NA","-87.049723|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","211|Hipp, Andrew|NA"
"0027525MOR","41.651583|Hipp, Andrew|NA","-87.067244|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","216|Hipp, Andrew|NA"
"0027526MOR","41.74856|Hipp, Andrew|NA","-86.739773|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise|Hipp, Andrew|NA","based on collectors desc. & 1/4 sec|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","135|Hipp, Andrew|NA"
"0027527MOR","41.424295|Hipp, Andrew|NA","-86.481017|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","190|Hipp, Andrew|NA"
"0027528MOR","41.75825|Hipp, Andrew|NA","-86.489635|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","206|Hipp, Andrew|NA"
"0027529MOR","42.674554|Hipp, Andrew|NA","-87.839752|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","222|Hipp, Andrew|NA"
"0027530MOR","41.636044|Hipp, Andrew|NA","-87.5502|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","201|Hipp, Andrew|NA"
"0027531MOR","41.407447|Hipp, Andrew|NA","-87.603564|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","181|Hipp, Andrew|NA"
"0027532MOR","41.814695|Hipp, Andrew|NA","-88.050284|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","513|Bannon, Lee|NA"
"0027533MOR","42.497472|Hipp, Andrew|NA","-87.812044|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","214|Hipp, Andrew|NA"
"0027534MOR","41.562816|Hipp, Andrew|NA","-87.594487|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors desc. & 1/4 sec|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","196|Hipp, Andrew|NA"
"0027537MOR","41.815217|Bannon, Lee|NA","-88.082751|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","112|Bannon, Lee|NA"
"0027593MOR","41.815815|Bannon, Lee|NA","-88.08131|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","97|Bannon, Lee|NA"
"0027596MOR","41.89141|Bannon, Lee|NA","-88.231503|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","203|Bannon, Lee|NA"
"0027597MOR","41.818213|Bannon, Lee|NA","-88.045327|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","396|Bannon, Lee|NA"
"0027598MOR","41.81794|Bannon, Lee|NA","-88.073608|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","152|Bannon, Lee|NA"
"0027611MOR","41.814806|Bannon, Lee|NA","-88.059038|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","202|Bannon, Lee|NA"
"0027612MOR","41.755443|Bannon, Lee|NA","-88.13564|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","214|Bannon, Lee|NA"
"0027613MOR","41.816896|Bannon, Lee|NA","-88.073876|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","149|Bannon, Lee|NA"
"0027643MOR","41.781294|Bannon, Lee|NA","-87.920807|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","96|Bannon, Lee|NA"
"0027648MOR","41.813515|Bannon, Lee|NA","-88.071077|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","94|Bannon, Lee|NA"
"0027694MOR","41.877529|Hipp, Andrew|NA","-88.067012|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","1700|Bannon, Lee|NA"
"0027695MOR","41.222209|Hipp, Andrew|NA","-87.277861|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","201|Hipp, Andrew|NA"
"0027696MOR","41.734442|Hipp, Andrew|NA","-87.678307|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","200|Hipp, Andrew|NA"
"0027697MOR","37.518988|Bannon, Lee|NA","-88.75661|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","louise & lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","212|Bannon, Lee|NA"
"0027698MOR","41.628617|Hipp, Andrew|NA","-87.78908|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","175|Hipp, Andrew|NA"
"0027699MOR","41.619234|Hipp, Andrew|NA","-87.791976|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","157|Hipp, Andrew|NA"
"0027700MOR","41.621993|Hipp, Andrew|NA","-87.789144|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","173|Hipp, Andrew|NA"
"0027701MOR","41.555896|Hipp, Andrew|NA","-87.59467|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","148|Hipp, Andrew|NA"
"0027702MOR","41.617388|Hipp, Andrew|NA","-87.546567|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","155|Hipp, Andrew|NA"
"0027711MOR","41.844011|Lueders, Kate|NA","-88.470709|Lueders, Kate|NA","WGS84|Lueders, Kate|NA","Kate Lueders|Lueders, Kate|NA","Based on collector description|Lueders, Kate|NA","GeoLocate|Lueders, Kate|NA","397|Lueders, Kate|NA"
"0027721MOR","41.300661|Hipp, Andrew|NA","-88.578112|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","168|Hipp, Andrew|NA"
"0027722MOR","41.604697|Hipp, Andrew|NA","-87.555375|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Hipp, Andrew|NA","based on Collectors descripton|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","323|Hipp, Andrew|NA"
"0027723MOR","41.6034|Hipp, Andrew|NA","-87.55679|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","200|Hipp, Andrew|NA"
"0027726MOR","42.835801|Bannon, Lee|NA","-87.904404|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","1259|Bannon, Lee|NA"
"0027727MOR","41.702614|Hipp, Andrew|NA","-87.990911|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","602|Bannon, Lee|NA"
"0027728MOR","41.303241|Hipp, Andrew|NA","-88.574507|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","185|Hipp, Andrew|NA"
"0027755MOR","41.20443|Hipp, Andrew|NA","-87.983238|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","142|Hipp, Andrew|NA"
"0027756MOR","42.014729|Hipp, Andrew|NA","-88.26495|Hipp, Andrew|NA","WGS84|Hipp, Andrew|NA","Louise and Lee|Hipp, Andrew|NA","based on collectors description|Hipp, Andrew|NA","GeoLocate|Hipp, Andrew|NA","70|Hipp, Andrew|NA"
"0027764MOR","41.816493|Bannon, Lee|NA","-88.038037|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","147|Bannon, Lee|NA"
"0027774MOR","41.780034|Bannon, Lee|NA","-88.122831|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","294|Bannon, Lee|NA"
"0027775MOR","41.815699|Bannon, Lee|NA","-88.065913|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","205|Bannon, Lee|NA"
"0027822MOR","41.814898|Bannon, Lee|NA","-88.050681|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","207|Bannon, Lee|NA"
"0027823MOR","41.812967|Bannon, Lee|NA","-88.091418|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","208|Bannon, Lee|NA"
"0027825MOR","41.960643|Bannon, Lee|NA","-88.020984|Bannon, Lee|NA","WGS84|Bannon, Lee|NA","Louise & Lee|Bannon, Lee|NA","based on collectors description|Bannon, Lee|NA","GeoLocate|Bannon, Lee|NA","198|Bannon, Lee|NA"
